date,cloud_cover,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndvi_p25,ndvi_p75,valid_fraction,scene_id
2025-06-06,3.64,0.7170072793960571,0.2365512102842331,0.9026943445205688,0.08751862496137619,0.6659388542175293,0.7843188047409058,1.0,S2C_MSIL2A_20250606T092051_N0511_R093_T34TGS_20250606T121513.SAFE
2025-06-08,0.32,0.7120962142944336,0.25006258487701416,0.9022635817527771,0.08699040859937668,0.6610583066940308,0.7823069095611572,1.0,S2A_MSIL2A_20250608T092041_N0511_R093_T34TGS_20250608T121913.SAFE
2025-06-11,15.38,0.6115244626998901,0.26530611515045166,0.8322600722312927,0.09548825025558472,0.5434008836746216,0.685761570930481,1.0,S2B_MSIL2A_20250611T092029_N0511_R093_T34TGS_20250611T121714.SAFE
2025-06-16,11.12,0.7020465731620789,0.24629224836826324,0.9288718700408936,0.105754055082798,0.6368536949157715,0.7902135252952576,1.0,S2C_MSIL2A_20250616T092051_N0511_R093_T34TGS_20250616T120017.SAFE
2025-06-21,2.86,0.7047266960144043,0.23054474592208862,0.9338061213493347,0.09998154640197754,0.6512829065322876,0.7686243057250977,1.0,S2B_MSIL2A_20250621T092029_N0511_R093_T34TGS_20250621T102719.SAFE
2025-06-26,7.7,0.6038957238197327,0.18910741806030273,0.8962600827217102,0.13682231307029724,0.5123351216316223,0.6999590396881104,1.0,S2C_MSIL2A_20250626T092051_N0511_R093_T34TGS_20250626T131216.SAFE
2025-07-01,0.13,0.6977978944778442,0.25350701808929443,0.9309064149856567,0.09179839491844177,0.6562537550926208,0.7468770742416382,1.0,S2B_MSIL2A_20250701T092029_N0511_R093_T34TGS_20250701T115535.SAFE
2025-07-06,4.66,0.6321818828582764,0.22848086059093475,0.9138810038566589,0.09810179471969604,0.5724138021469116,0.6818879246711731,1.0,S2C_MSIL2A_20250706T092051_N0511_R093_T34TGS_20250706T131358.SAFE
2025-07-08,18.57,0.5922456383705139,0.2215173840522766,0.8846456408500671,0.09304150193929672,0.5394131541252136,0.6272211074829102,1.0,S2A_MSIL2A_20250708T092231_N0511_R093_T34TGS_20250708T122113.SAFE
2025-07-21,5.99,0.6573788523674011,0.25257325172424316,0.8932137489318848,0.08139052987098694,0.6111411452293396,0.7002681493759155,1.0,S2B_MSIL2A_20250721T092029_N0511_R093_T34TGS_20250721T120259.SAFE
2025-07-26,0.0,0.6558519601821899,0.2846603989601135,0.8663687109947205,0.0801578089594841,0.6048183441162109,0.7080457210540771,1.0,S2C_MSIL2A_20250726T092051_N0511_R093_T34TGS_20250726T125415.SAFE
2025-08-05,5.64,0.7163400053977966,0.2900388240814209,0.9013756513595581,0.08180570602416992,0.661855161190033,0.7779277563095093,1.0,S2C_MSIL2A_20250805T092051_N0511_R093_T34TGS_20250805T115314.SAFE
2025-08-10,0.0,0.7223871946334839,0.2846294939517975,0.9122766256332397,0.09722470492124557,0.6589733958244324,0.7955474257469177,1.0,S2B_MSIL2A_20250810T092029_N0511_R093_T34TGS_20250810T114025.SAFE
2025-08-15,0.0,0.6665136218070984,0.2899896800518036,0.8873841762542725,0.09087157994508743,0.606634259223938,0.7311291694641113,1.0,S2C_MSIL2A_20250815T092051_N0511_R093_T34TGS_20250815T125620.SAFE
2025-08-17,1.08,0.6422568559646606,0.2854144871234894,0.8806244134902954,0.09101894497871399,0.5804049968719482,0.7087332010269165,1.0,S2A_MSIL2A_20250817T092231_N0511_R093_T34TGS_20250817T114620.SAFE
2025-08-20,7.8,0.6663656830787659,0.3108779788017273,0.9053656458854675,0.09496914595365524,0.6000000238418579,0.7384533882141113,1.0,S2B_MSIL2A_20250820T092029_N0511_R093_T34TGS_20250820T120536.SAFE
2025-08-25,3.42,0.5963618755340576,0.2316916435956955,0.9223021864891052,0.10102510452270508,0.53342205286026,0.6586133241653442,1.0,S2C_MSIL2A_20250825T092051_N0511_R093_T34TGS_20250825T125221.SAFE
2025-08-30,0.0,0.5147176384925842,0.2566831111907959,0.8352369666099548,0.08416712284088135,0.46139785647392273,0.5581768751144409,1.0,S2B_MSIL2A_20250830T092029_N0511_R093_T34TGS_20250830T113855.SAFE
2025-09-14,3.16,0.6845470070838928,0.28198909759521484,0.9076034426689148,0.07822255045175552,0.638014554977417,0.740367591381073,1.0,S2C_MSIL2A_20250914T092041_N0511_R093_T34TGS_20250914T145017.SAFE
2025-09-16,0.01,0.70747971534729,0.26127660274505615,0.9283634424209595,0.08258282393217087,0.6568195819854736,0.7704350352287292,1.0,S2A_MSIL2A_20250916T092041_N0511_R093_T34TGS_20250916T124414.SAFE
2025-10-16,7.88,0.765525758266449,0.3088725805282593,0.9335711002349854,0.09621655195951462,0.686384916305542,0.8486984372138977,1.0,S2A_MSIL2A_20251016T092041_N0511_R093_T34TGS_20251016T125519.SAFE
2025-10-29,5.09,0.6954431533813477,0.24737732112407684,0.915800154209137,0.11419223994016647,0.5988053679466248,0.7904844284057617,1.0,S2B_MSIL2A_20251029T092029_N0511_R093_T34TGS_20251029T133457.SAFE
2025-11-05,19.42,0.6275924444198608,0.2369871437549591,0.8873370289802551,0.1013515442609787,0.5440716743469238,0.7075017690658569,1.0,S2A_MSIL2A_20251105T092211_N0511_R093_T34TGS_20251105T105715.SAFE
2026-01-17,0.02,-0.018937190994620323,-0.17748917639255524,0.2385513335466385,0.038052234798669815,-0.03583882004022598,-0.01977250538766384,1.0,S2B_MSIL2A_20260117T092229_N0511_R093_T34TGS_20260117T100545.SAFE
2026-02-06,23.72,0.4233342111110687,0.12797023355960846,0.7075831890106201,0.07873598486185074,0.3622428774833679,0.48316439986228943,1.0,S2B_MSIL2A_20260206T092049_N0512_R093_T34TGS_20260206T132849.SAFE
2026-02-06,22.92,0.4233342111110687,0.12797023355960846,0.7075831890106201,0.07873598486185074,0.3622428774833679,0.48316439986228943,1.0,S2A_MSIL2A_20260206T092741_N0512_R093_T34TGS_20260206T115613.SAFE
2026-02-26,12.97,0.11830044537782669,-0.10469147562980652,0.5292797684669495,0.08676134794950485,0.05729493126273155,0.15558812022209167,1.0,S2B_MSIL2A_20260226T092029_N0512_R093_T34TGS_20260226T114216.SAFE
2026-02-26,12.74,0.11830044537782669,-0.10469147562980652,0.5292797684669495,0.08676134794950485,0.05729493126273155,0.15558812022209167,1.0,S2A_MSIL2A_20260226T092931_N0512_R093_T34TGS_20260226T115318.SAFE
2026-03-03,9.56,0.4234026074409485,0.19168591499328613,0.6950977444648743,0.0838407501578331,0.3488464057445526,0.49185532331466675,1.0,S2C_MSIL2A_20260303T092031_N0512_R093_T34TGS_20260303T125412.SAFE
2026-03-08,21.98,0.060950156301259995,-0.009847419336438179,0.13907958567142487,0.01662626303732395,0.04945341497659683,0.07181341201066971,1.0,S2B_MSIL2A_20260308T092029_N0512_R093_T34TGS_20260308T132223.SAFE
2026-03-13,0.15,0.4648926854133606,0.18498104810714722,0.7793676257133484,0.09776424616575241,0.3829106390476227,0.5471016764640808,1.0,S2C_MSIL2A_20260313T092031_N0512_R093_T34TGS_20260313T130109.SAFE
2026-05-04,0.44,0.6749852895736694,0.22216440737247467,0.8952295780181885,0.0924258679151535,0.6312717199325562,0.7310677766799927,1.0,S2A_MSIL2A_20260504T092231_N0512_R093_T34TGS_20260504T145514.SAFE
